,netapp_ontap.system_node,storage.name,LOB,model,Installed_Version,node_version,cluster_name,node_version_install_time_without_timezone,current_date,days_passed_last_ontap_upgrade,Target Golden Image,Target Golden Image-1,Target Golden Image-2,OS_Compliance,OS_Compliance-1
1061,stnpa3-02-st029,stnpca3-st029,CCloud,AFF-A800,9.10.1P5,NetApp Release 9.10.1P5: Sun Jun 19 14:49:57 UTC 2022,stnpca3-st029,2022-11-06 04:14:00,2023-04-17 16:26:00,162.0,9.10.1P8,9.10.1P5,9.8.0P12,False,True
1062,stnpa3-02-st030,stnpca3-st030,CCloud,AFF-A700s,9.10.1P5,NetApp Release 9.10.1P5: Sun Jun 19 14:49:57 UTC 2022,stnpca3-st030,2022-09-27 22:06:00,2023-04-17 16:26:00,201.0,9.10.1P8,9.10.1P5,9.8.0P12,False,True
1063,stnpa3-02-st031,stnpca3-st031,CCloud,AFF-A300,9.10.1P8,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,stnpca3-st031,2023-02-26 15:41:00,2023-04-17 16:26:00,50.0,9.10.1P8,9.10.1P5,9.8.0P12,True,True
1064,stnpa3-02-st032,stnpca3-st032,CCloud,AFF-A800,9.10.1P5,NetApp Release 9.10.1P5: Sun Jun 19 14:49:57 UTC 2022,stnpca3-st032,2022-09-24 22:05:00,2023-04-17 16:26:00,204.0,9.10.1P8,9.10.1P5,9.8.0P12,False,True
1065,stnpa3-02-st033,stnpca3-st033,CCloud,AFF-A800,9.10.1P4,NetApp Release 9.10.1P4: Mon May 09 22:11:44 UTC 2022,stnpca3-st033,2022-06-24 19:04:00,2023-04-17 16:26:00,296.0,9.10.1P8,9.10.1P5,9.8.0P12,False,False
1066,stnpa3-02-st034,stnpca3-st034,CCloud,AFF-A800,9.10.1P8,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,stnpca3-st034,2023-01-13 22:13:00,2023-04-17 16:26:00,93.0,9.10.1P8,9.10.1P5,9.8.0P12,True,True
1067,stnpa3-02-st037,stnpca3-st037,CCloud,AFF-A800,9.10.1P8,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,stnpca3-st037,2023-01-09 15:20:00,2023-04-17 16:26:00,98.0,9.10.1P8,9.10.1P5,9.8.0P12,True,True
1068,stnpa3-02-st038,stnpca3-st038,CCloud,AFF-A800,9.10.1P8,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,stnpca3-st038,2023-02-13 15:26:00,2023-04-17 16:26:00,63.0,9.10.1P8,9.10.1P5,9.8.0P12,True,True
1069,stnpa3-02-st039,stnpca3-st039,CCloud,AFF-A800,9.10.1P8,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,stnpca3-st039,2023-02-28 04:11:00,2023-04-17 16:26:00,48.0,9.10.1P8,9.10.1P5,9.8.0P12,True,True
1070,stnpa3-02-st040,stnpca3-st040,CCloud,AFF-A800,9.10.1P4,NetApp Release 9.10.1P4: Mon May 09 22:11:44 UTC 2022,stnpca3-st040,2022-07-06 19:06:00,2023-04-17 16:26:00,284.0,9.10.1P8,9.10.1P5,9.8.0P12,False,False
