netapp_ontap.system_node,node_version_install_time,node_version,cluster_name
derotnp00126,3 Feb 2023 00:57 UTC,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,derotnpc0002
derotnp00127,25 Aug 2022 22:32 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,derotnpc0008
derotnp00128,25 Aug 2022 22:32 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,derotnpc0008
derotnp00129,3 Feb 2023 23:42 UTC,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,derotnpc0015
derotnp00130,3 Feb 2023 23:42 UTC,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,derotnpc0015
derotnp00131,3 Feb 2023 23:42 UTC,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,derotnpc0015
derotnp00132,3 Feb 2023 23:42 UTC,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,derotnpc0015
derotnp90017,4 Feb 2023 22:05 UTC,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,derotnpc9003
derotnp90018,4 Feb 2023 22:05 UTC,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,derotnpc9003
dewdfnp00009,4 Aug 2022 22:26 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,dewdfnpc0003
dewdfnp00010,4 Aug 2022 22:28 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,dewdfnpc0003
dewdfnp00011,4 Aug 2022 22:25 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,dewdfnpc0003
dewdfnp00012,4 Aug 2022 22:26 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,dewdfnpc0003
dewdfnp00013,4 Aug 2022 22:11 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,dewdfnpc0001
dewdfnp00014,4 Aug 2022 22:12 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,dewdfnpc0001
dewdfnp00015,4 Aug 2022 22:09 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,dewdfnpc0001
dewdfnp00016,4 Aug 2022 22:09 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,dewdfnpc0001
dewdfnp00017,5 Feb 2023 22:06 UTC,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,dewdfnpc0004
dewdfnp00018,5 Feb 2023 22:06 UTC,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,dewdfnpc0004
hec01f0039,26 Sep 2022 18:51 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc003
hec01f0040,26 Sep 2022 18:51 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc003
hec01f0043,18 Nov 2022 18:53 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc008
hec01f0044,18 Nov 2022 18:53 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc008
